1764,2021-10-11T15:08:51+0000;0444,T699a,H6534;0445,T6985,H630d;0544,T6983,H5c15;0545,T6987,H62f8;0644,T692c,H66e3;0645,T6967,H65da;0744,T6971,H5a08;0745,T697a,H6676
2063,2021-10-11T16:27:23+0000;0444,T63b1,H7625;0445,T63c5,H7373;0544,T63d0,H6b04;0545,T63d1,H731e;0644,T63d8,H75af;0645,T640a,H74c5;0744,T63ce,H6867;0745,T63db,H7600
2064,2021-10-11T16:27:39+0000;0444,T63b1,H761d;0445,T63c5,H7373;0544,T63cf,H6b0d;0545,T63d2,H7321;0644,T63d9,H75b6;0645,T640a,H74c3;0744,T63cd,H6864;0745,T63da,H75fe
2065,2021-10-11T16:27:54+0000;0444,T63b0,H7620;0445,T63c4,H736c;0544,T63cf,H6b10;0545,T63d0,H7328;0644,T63d6,H75b9;0645,T6407,H74be;0744,T63cc,H6873;0745,T63d8,H75ff
2066,2021-10-11T16:28:10+0000;0444,T63af,H7624;0445,T63c4,H7376;0544,T63cd,H6b10;0545,T63ce,H7325;0644,T63d5,H75b8;0645,T6409,H74c6;0744,T63cc,H686c;0745,T63d8,H7604
2067,2021-10-11T16:28:26+0000;0444,T63ad,H7624;0445,T63c1,H736d;0544,T63cc,H6b1a;0545,T63cc,H7324;0644,T63d4,H75b3;0645,T6404,H74cd;0744,T63c9,H6873;0745,T63d6,H7604
2068,2021-10-11T16:28:42+0000;0444,T63ad,H762a;0445,T63c0,H7378;0544,T63cd,H6b10;0545,T63cd,H7324;0644,T63d3,H75b8;0645,T6407,H74cf;0744,T63cb,H6872;0745,T63d6,H760e
2069,2021-10-11T16:28:57+0000;0444,T63ab,H7629;0445,T63c1,H7377;0544,T63cc,H6b14;0545,T63cd,H732a;0644,T63d3,H75b8;0645,T6405,H74ca;0744,T63c8,H6870;0745,T63d5,H7602
2070,2021-10-11T16:29:13+0000;0444,T63ab,H762a;0445,T63c0,H737c;0544,T63cd,H6b16;0545,T63cc,H732e;0644,T63cf,H75b6;0645,T6401,H74cd;0744,T63c8,H6872;0745,T63d3,H760c
2071,2021-10-11T16:29:29+0000;0444,T63ab,H762f;0445,T63bf,H737f;0544,T63c8,H6b19;0545,T63cb,H732b;0644,T63d0,H75be;0645,T6401,H74d3;0744,T63c7,H6872;0745,T63d4,H760a
2072,2021-10-11T16:29:45+0000;0444,T63a6,H7634;0445,T63bf,H7381;0544,T63c8,H6b19;0545,T63c9,H7337;0644,T63cf,H75bd;0645,T6400,H74d5;0744,T63c6,H687a;0745,T63d2,H7610
2073,2021-10-11T16:30:01+0000;0444,T63a7,H7636;0445,T63bb,H7384;0544,T63c7,H6b18;0545,T63c9,H7337;0644,T63ce,H75c4;0645,T63ff,H74d2;0744,T63c6,H687f;0745,T63d1,H7612
2074,2021-10-11T16:30:16+0000;0444,T63a9,H762e;0445,T63bd,H7387;0544,T63c8,H6b1e;0545,T63c9,H7338;0644,T63ce,H75c5;0645,T63ff,H74ce;0744,T63c3,H6882;0745,T63d0,H7612
2075,2021-10-11T16:30:32+0000;0444,T63a7,H7636;0445,T63b9,H7381;0544,T63c9,H6b20;0545,T63c3,H7334;0644,T63ce,H75c0;0645,T63fe,H74d1;0744,T63c0,H6879;0745,T63ce,H7613
2076,2021-10-11T16:30:48+0000;0444,T63a6,H7637;0445,T63bc,H7388;0544,T63c7,H6b1c;0545,T63c9,H7335;0644,T63cd,H75c3;0645,T63fd,H74d1;0744,T63c3,H687a;0745,T63d0,H7610
2077,2021-10-11T16:31:04+0000;0444,T63a4,H7635;0445,T63b9,H7384;0544,T63c5,H6b26;0545,T63c7,H733c;0644,T63cc,H75c9;0645,T63ff,H74dc;0744,T63c2,H6887;0745,T63ce,H7612
2078,2021-10-11T16:31:19+0000;0444,T63a3,H7636;0445,T63b8,H7388;0544,T63c2,H6b1a;0545,T63c6,H733c;0644,T63cc,H75c4;0645,T63fd,H74db;0744,T63c1,H6889;0745,T63cc,H761a
2079,2021-10-11T16:31:35+0000;0444,T63a2,H763e;0445,T63b8,H7388;0544,T63c2,H6b27;0545,T63c2,H7342;0644,T63cb,H75cb;0645,T63fd,H74d9;0744,T63c0,H6883;0745,T63cd,H7613
2080,2021-10-11T16:31:51+0000;0444,T63a3,H763f;0445,T63b7,H738b;0544,T63c0,H6b23;0545,T63c4,H7339;0644,T63c9,H75cc;0645,T63fb,H74d9;0744,T63c0,H6883;0745,T63ca,H761e
2081,2021-10-11T16:32:07+0000;0444,T63a3,H7640;0445,T63b5,H7384;0544,T63c4,H6b27;0545,T63c3,H7344;0644,T63c9,H75c9;0645,T63fc,H74d5;0744,T63bf,H6886;0745,T63cb,H761f
2082,2021-10-11T16:32:22+0000;0444,T63a0,H7644;0445,T63b4,H738c;0544,T63bf,H6b2d;0545,T63c2,H733f;0644,T63c9,H75d0;0645,T63fb,H74dc;0744,T63be,H6887;0745,T63cb,H761c
2083,2021-10-11T16:32:38+0000;0444,T63a0,H7640;0445,T63b4,H738a;0544,T63c1,H6b2b;0545,T63c0,H7346;0644,T63c8,H75d2;0645,T63fa,H74e3;0744,T63bf,H6889;0745,T63ca,H7622
2084,2021-10-11T16:32:54+0000;0444,T639c,H763f;0445,T63b3,H738c;0544,T63bf,H6b26;0545,T63c0,H7340;0644,T63c7,H75d0;0645,T63f7,H74e9;0744,T63bd,H688c;0745,T63c8,H7622
2085,2021-10-11T16:33:10+0000;0444,T639d,H7646;0445,T63b2,H738e;0544,T63be,H6b2c;0545,T63c0,H7348;0644,T63c6,H75cf;0645,T63f9,H74e3;0744,T63ba,H688e;0745,T63ca,H7626
2086,2021-10-11T16:33:25+0000;0444,T639e,H7644;0445,T63b3,H7393;0544,T63bd,H6b31;0545,T63c0,H734c;0644,T63c6,H75d0;0645,T63fa,H74e5;0744,T63bc,H688d;0745,T63c7,H7625
2087,2021-10-11T16:33:41+0000;0444,T639f,H7644;0445,T63b2,H7393;0544,T63be,H6b2b;0545,T63bf,H7349;0644,T63c5,H75d4;0645,T63f3,H74e6;0744,T63bb,H688d;0745,T63c8,H762a
2088,2021-10-11T16:33:57+0000;0444,T639e,H7646;0445,T63b1,H7390;0544,T63bd,H6b36;0545,T63bf,H734e;0644,T63c4,H75d9;0645,T63f5,H74ea;0744,T63b9,H6890;0745,T63c7,H7626
2089,2021-10-11T16:34:13+0000;0444,T639a,H764f;0445,T63af,H7395;0544,T63bd,H6b2f;0545,T63be,H734f;0644,T63c5,H75dd;0645,T63f7,H74ea;0744,T63ba,H688e;0745,T63c5,H762c
2090,2021-10-11T16:34:28+0000;0444,T639c,H764e;0445,T63b1,H7395;0544,T63ba,H6b2a;0545,T63bc,H734f;0644,T63c4,H75d5;0645,T63f5,H74e7;0744,T63b8,H6895;0745,T63c5,H762f
2091,2021-10-11T16:34:44+0000;0444,T639c,H7651;0445,T63af,H7396;0544,T63bd,H6b2d;0545,T63bb,H7352;0644,T63c3,H75d8;0645,T63f0,H74e2;0744,T63b8,H6896;0745,T63c2,H762a
2092,2021-10-11T16:35:00+0000;0444,T639c,H764e;0445,T63ac,H7391;0544,T63bb,H6b35;0545,T63b9,H7354;0644,T63bf,H75d4;0645,T63f2,H74e8;0744,T63b7,H6892;0745,T63c3,H7633
2093,2021-10-11T16:35:16+0000;0444,T6397,H7650;0445,T63ad,H7397;0544,T63b8,H6b32;0545,T63ba,H7354;0644,T63c1,H75d7;0645,T63f2,H74ef;0744,T63b6,H6897;0745,T63c2,H762c
2094,2021-10-11T16:35:31+0000;0444,T6398,H7650;0445,T63ad,H739e;0544,T63ba,H6b3b;0545,T63b9,H7352;0644,T63c0,H75d7;0645,T63f2,H74f1;0744,T63b4,H689c;0745,T63c1,H7631
